asset_uid,manufacturer_norm,model_norm,system_norm,subsystem_norm,description
cd0e4aa5-ca0a-42f1-bfba-12e43b11dfa3,Vetus,splash_stop,Hull/Plumbing,Venting,"Splash stop"
374cc1c4-da31-416b-9426-decee31b2851,Vetus,airvent_v_airvent_h,Hull/Plumbing,Venting,"Airvent V / Airvent H"
29ec59da-2e52-48b9-ad8a-7474efeea0ad,Vetus,cooling_water_strainer,Hull/Plumbing,Venting,"Cooling water strainer"
6f7842bd-58cf-4bc7-9e1e-7da88b74edc2,Vetus,stainless_steel_breather_nipples,Hull/Plumbing,Venting,"Stainless steel breather nipples"
08ca0278-7202-4d3b-8824-64e36ad31488,Vetus,extractor_fan,Hull/Plumbing,Venting,"Extractor fan"
19a35aad-36ac-48a6-981e-c61b5cf2fc64,Vetus,waterlock,Hull/Plumbing,Venting,"Waterlock"
d1101b51-d5e1-4ecb-8822-cb60ad8eb6cf,Victron,lynx_distributor,Electrical (DC),Distribution/busbars,"Lynx Distributor"
3126bdbe-e88b-2def-e3cf-1c0ff8bfd018,Victron,orion_tr_smart_24_48_8_5_dc_dc_converter,Electrical (DC),Converters,"Orion TR Smart 24/48 - 8,5 DC/DC converter"
3b28ed48-8448-39da-553b-72cea85ee6c0,Victron,smartshunt_500a_50mv,Electrical (DC),Monitoring,"SmartShunt 500A/50MV"
b3c33da6-405e-4dda-5eee-75fe259df4ef,Victron,smart_solar_mppt,Electrical (DC),Solar/mppt,"Smart Solar MPPT"
67878acc-3376-eac0-f306-c6aea5240d39,Victron,quattro_48_5000_70_100_100_230v,Electrical (DC),Inverter/charger,"Quattro 48/5000/70 - 100/100 230V"
27ae3e55-fc52-7fb0-439d-7907543fe5b2,Victron,lynx_smart_bms_500,Electrical (DC),Bms,"Lynx Smart BMS500"
9bde01d7-0d79-c0c0-f8a4-5b48f9646a49,Victron,gx_touch_70,Electrical (DC),Monitoring,"GX Touch 70"
5480345b-3ecf-fa1b-0cfc-659fe978dc4a,Victron,cerbo_gx,Electrical (DC),Monitoring,"Cerbo Gx"
4cd0906c-b5e2-9783-1b39-ffa94a2497d8,Victron,smart_solar_mppt_250_100_tr,Electrical (DC),Solar/mppt,"Smart Solar MPPT 250/100 Tr"
ea03110e-598d-7430-eb5a-0e745cd7f340,Victron,life_p04_battery_25_6v_200a,Electrical (DC),Batteries,"Life P04 battery 25,6V/200A"
b8d26f26-3f0e-3c96-3e28-349e1d1f7060,Victron,orion_tr_smart_24_12_30a,Electrical (DC),Uncategorized,"Orion TR Smart 24/12 - 30A"
ce903d80-61d9-07dc-8e87-5105d4aa472f,Vitrifrigo,fridge_freezer,Interior/Comfort,Fridge/freezer,"Fridge/freezer"
1a5d8140-f5b1-4a02-b516-1eb39f3b766c,Whale,gusher_titan_bilge_pumps,Hull/Plumbing,Shower,"Gusher® Titan® bilge pumps"
f876f1dd-3fda-7cdb-5200-9c9f89e271c1,Whale,swin_n_rinse_shower,Hull/Plumbing,Shower,"Swin 'N' Rinse shower"
736a7b73-3d9f-a851-89f3-e98dded6357c,Yanmar,port_engine,Propulsion,Engines,"Port Engine 4HJ57"
7d66254e-d860-46ce-81f8-43647fbb1cac,Yanmar,shift_actuator,Propulsion,Uncategorized,"Shift actuator"
4dbf0c41-a3ac-4993-b5d4-b591a6365c72,Yanmar,stbd_sail_drive,Propulsion,Uncategorized,"Stbd Sail Drive"
cc5de4bb-7061-479d-b030-da179a35a430,Yanmar,port_sail_drive,Propulsion,Uncategorized,"Port Sail Drive"
641b18cf-e9de-4ebe-a37e-4e48c19aaaaf,Yanmar,v20,Propulsion,Engine Controls,"Dual Yanmar V20 electronic throttle"
4be6e417-1b27-42bf-951a-e10cb2b970e8,Yanmar,stbd_engine,Propulsion,Engines,"Stbd Engine 4HJ57"
6747bcaf-5c31-e12f-8947-37fce290ab47,Yanmar,4jh57,Propulsion,Engines,"57 hp diesel engine (PORT)"
ca3b9f2f-f06f-4294-8540-dcbb20730da9,Zerojet,on_oc_tender,Rigging/Deck,Tender,"Zerojet on OC Tender"
