asset_uid,manufacturer_norm,model_norm,system_norm,subsystem_norm,description
9f5f2089-589c-4010-a0dc-54f3a0626842,B&G,gps_antenna_module_pack,Communications,Antennas/splitters,"GPS Antenna module pack"
3f998133-962b-4a49-88fb-98191a8cfeac,B&G,gps_antenna,Communications,Antennas/splitters,"GPS Antenna"
99f63852-706e-e912-f856-5e4319422726,B&G,forwardscan_transducers,Navigation,Sonar/forwardscan,"ForwardScan Sonar"
19dcd795-9f7e-0aaf-93ca-e668771cd2d3,B&G,nac_3_autopilot_computer,Navigation,Autopilot,""
32dfefc3-59eb-1055-6b68-870d2821bf4c,B&G,nep_2_network_expansion_port,Navigation,Networking,"NEP2 (Network Expansion Port)"
8de5dc59-9f90-d596-98c8-a9b5a39a2c4d,B&G,halo24,Navigation,Radar,""
d6abc8c6-0039-9846-6a49-faf0e2cb8c34,B&G,zeus_s_12mfd,Navigation,Displays/mfds,"Zeus³S 12MFD"
277fd70d-2c8a-46ce-b749-9ea77eb3515e,B&G,yellow_o_ring,Navigation,Uncategorized,"Yellow o-ring"
b24e777b-faa6-429d-afca-6dbfc3d4eb3e,B&G,vhf_antenna_splitter,Communications,VHF,"VHF antenna splitter"
0d4388cd-8459-b091-6a62-fd65d4b49959,B&G,triton2,Navigation,Instruments,"Triton² Display"
b3cea2e4-8739-dbe0-9197-60a2301ce360,B&G,sonarhub,Navigation,Sonar/forwardscan,"Sonar hub module"
20e4f32f-bf13-43a8-8ccb-6a3ff762f10f,B&G,silicone_and_safety_wire_kit,Navigation,Uncategorized,"Silicone & safety wire kit"
c8fa8549-d68d-ca0e-8cd2-75cfce49ec5b,B&G,rf25n_rudder_feedback_unit,Navigation,Autopilot,"RF25N Rudder feedback"
25a4fe5f-d6bc-4eb6-9cb9-93c04f3d6f1b,B&G,camera,Navigation,Uncategorized,"Camera"
02192834-87c3-9d3a-f556-ca736b284338,B&G,precision_9,Navigation,Compass,"Precision 9 compass"
363c8d2b-2bb5-4bb6-b691-a9c3b19cabf0,B&G,o_ring_kit_for_thru_hull_fitting,Hull/Plumbing,Thru‑hulls,"O-ring kit for thru hull fitting"
9d2fe5d7-e323-4a8d-a718-f937fd1e683b,B&G,micro_c_backbone_kit,Navigation,Uncategorized,"Micro-C backbone kit"
f5a259ed-9f28-4cda-affd-821d632a97e6,B&G,ip_cam_1_installation_guide,Navigation,Uncategorized,"IP Cam-1 Installation Guide"
dced0407-7762-9022-097a-bd0d30ea2509,B&G,halo24_plus,Navigation,Radar,"Halo20, 20 + 24 Dome Radar"
1cc45fe2-1f14-5809-5fcb-e0da2eb0db21,B&G,h100_handset,Communications,Handsets/intercom,"H100 handset"
9a8661fb-f7b2-fb6e-c0e9-41b74ed822af,Bosch,induction_hob,Interior/Comfort,Cooking,"Induction hob"
fccb8822-ff20-4757-aedb-8ce7e3765f39,Bosch,oven,Interior/Comfort,Cooking,"Oven"
c74030c0-012c-6b59-bc78-d46c570702b7,Caframo,sirocco_fan,Interior/Comfort,Hvac,"Sirocco fan"
54b1c238-2433-2fdf-be8c-736cb655f88d,Cyclops Marine,smartlink_sr_5t_sr12_5t,Rigging/Deck,Load Sensors,"Load sensor SR12-5t"
8de1b8c0-e84f-56f9-7593-7d8690617ea8,Cyclops Marine,bg03_smartfittings_gateway,Rigging/Deck,Load Sensors,"BGO3 Smartfittings gateway guide"
9ee9c355-25f6-575f-d5ca-14602d329c57,Cyclops Marine,smarttoggle_4_5t_12mm,Rigging/Deck,Load Sensors,"Load sensor FE02 - 4.5 X 12"
9e0a3f72-a2f3-0acd-8d2a-b1aded605fea,Cyclops Marine,smarttune_guide_7_8,Rigging/Deck,Load Sensors,"Smarttune Guide 7/8"""
9ef9a0ab-af03-c739-da58-26ca8367db39,Cyclops Marine,smarttune_ts06_3_4,Rigging/Deck,Load Sensors,"Smarttune Guide TS06 - 3/4"""
a9c24123-3435-81e5-a1d8-79b644db95d6,CZone,network_bridge_interface,Control/automation,Gateway/bridges,"Network bridge interface"
4bb7d4ee-c30c-4c20-b1b7-e2a4329bd10e,CZone,wproof_keypad_6x2,Control/automation,Uncategorized,"Wproof keypad 6x2"
9d399ee5-6ac1-2a60-d55c-a22b5a28cd36,CZone,czone_gateway,Control/automation,Uncategorized,""
329c5200-e0c6-d03e-3dea-9cdff7591070,CZone,touch_7,Control/automation,Displays/controls,"Touch 7"
2e5d375c-f030-5a86-a6a2-91902193b68a,Flexiteek,material_guarantee,Interior/Comfort,Flooring,"Material Guarantee"
603ed86f-0d7a-4ee9-a681-d3a97b600764,Fortress,fx_37,Rigging/Deck,Anchor,"Secondary anchor, Fortress FX-37, 9.5kgs"
af9a3816-26ee-e2b1-ecef-62d64098b451,Franke,flexi_faucet,Hull/Plumbing,Shower,"Flexi faucet"
b478c2fd-8991-b329-57c8-b973bc8c863d,Frigomar,airconditioners,Interior/Comfort,Hvac,"Airconditioners"
fd32badc-12e6-32a0-1225-e54cd20d8b6d,Fusion,6_5_xs_speakers,Interior/Comfort,Uncategorized,"6,5 XS Speakers"
cc01cf4d-5c29-efc5-3f90-099f8a8a74f0,Fusion,radio_stereo,Interior/Comfort,Audio/entertainment,"Radio/stereo"
995f4ace-1042-dbad-9d2d-4d46fe9dc4cb,Gewiss,disposal_guide,Hull/Plumbing,Uncategorized,"Disposal guide"
cdcb9764-0cad-4116-8560-ed32a55c9a5d,Hansgrohe,shower_head,Hull/Plumbing,Shower,"Shower head"
67f3c4a4-3811-0d7f-a316-bb6c9e434c7d,Hansgrohe,mixer_tap,Hull/Plumbing,Shower,"Mixer tap"
45711cb3-7a32-4553-8375-e347663f6f78,Hansgrohe,mixer_tap_showers,Hull/Plumbing,Shower,"Mixer tap - showers"
46020346-2f50-628b-bddc-6e8a331f1915,Harken,50_2sta,Rigging/Deck,Winches,"50.2 STA winch"
f0845b51-0568-4e99-81bc-eb00fd689971,Harken,dual_function_control_box,Propulsion,Controls,"Dual function control box"
e7505403-03a3-43ad-8e64-5fdf42f573c4,Harken,black_magic_footblock,Rigging/Deck,Uncategorized,"Black Magic Footblock"
d989bc6c-bab9-a001-2889-f4e83e47b28f,Harken,32mm_big_boat_cb_traveler_car,Rigging/Deck,Uncategorized,"32mm Big Boat CB traveler car"
4dfca1c2-9aa7-4f69-893a-131fc9405612,Harken,analogic_switch,Control/automation,Relays/switching,"Analogic switch"
d7958a7c-7fd5-4458-a071-95bfcc75b6d3,Harken,high_load_snatch_block,Rigging/Deck,Deck Hardware,"High-Load snatch block"
0fb0acae-1585-6393-94d1-889aa4088d35,Harken,black_magic_loop_block,Rigging/Deck,Deck Hardware,"Black Magic loop block"
623391a4-cd7d-0a2e-eeef-f75cd26b55b3,Harken,winch_60_3_stea_24v_h_motor,Rigging/Deck,Winches,"Winch 60,3 STEA 24V H motor"
85683d4d-bd10-d20b-76c8-39f862ac311d,Harken,60_3_stea_winch,Rigging/Deck,Winches,"60.3 STEA winch"
69688a2c-2660-4f9e-974a-7794bf459d4d,Harken,46_2stea,Rigging/Deck,Winches,"Winch 46,2 STEA H motor"
69055764-ebc7-d985-b1ab-72afaf3dd695,Harken,50_2stea_24v_horizontal,Rigging/Deck,Winches,"Winch 50,2 STEA 24V motor"
667332e7-8d3b-d2bd-7cc3-56495f56ce53,Hy-Prodrive,linear_actuator,Hull/Plumbing,Actuator,"Linear actuator"
91b3675a-9470-4e86-fe09-f5132102cfc8,Integrel,charging_system,Propulsion,Alternators/regulator,"Charging System"
35832e6e-2324-5aef-b1c7-4b2f9c4e2d42,Integrel Solutions,hybrid_marine_power_generation_system_integrated_with_main_engine,Electrical (DC),Alternators/regulators,"Hybrid marine power generation system integrated with main engine"
45c06cdd-28d7-9497-8507-0f26628c2cf2,Iriduim,satellite_kit,Communications,Wi-Fi/cell/sat,"Satellite kit"
515ce54a-09f5-1830-ef07-ff3db98422ad,Isotemp,marine_water_heater,Hull/Plumbing,Water Heater,"Marine water heater"
0dbf0a1a-13d2-7877-1e81-70bd0f58c5ad,Jabsco,electric_toilet,Hull/Plumbing,Heads,"Electric toilet"
ea9260bb-f8ee-f895-84e8-0e9651f0c027,Marco,self_priming_transfer_pump,Electrical (AC),Transfer/ats,"Self-priming transfer pump"
f3f11660-4800-54ad-0a5a-0aae71b6592c,Ocean Safety,inflatable_danbuoy,Safety,Erirb/plb,"Inflatable danbuoy"
023f1935-8b29-7c39-056b-72cb034ba9eb,Oceanled,underwater_lights,Interior/Comfort,Lighting,"Underwater lights"
15dd9fc5-a98c-e6e4-a524-60b59c114c32,Osculati,quick_lock_deck_filler,Rigging/Deck,Deck Hardware,"Quick lock deck filler"
d7bef66f-c51e-35d7-b801-69f4553db17a,Pan World,magnetic_driven_pump_aircons,Hull/Plumbing,Pumps,"Magnetic driven pump - aircons"
9661132b-d880-e7e0-6c09-bff7349270e6,Parker Hannifin,marine_fuel_filter_water_separators,Hull/Plumbing,Fuel Seperator,"Marine fuel filter/water separators"
48e83cfd-94a3-4dfb-9953-387a3da8f95b,Peplink,b_one,Communications,Wi-Fi/cell/sat,"B-one"
b73c5c16-0377-4a89-af95-23b1fa8f4373,Peplink,sim_projector,Communications,Wi-Fi/cell/sat,"SIM Projector"
940b9d2f-6c80-7a1b-067c-9865fae75589,Peplink,ap_one_ax,Communications,Wi-Fi/cell/sat,"AP one Ax"
5c359768-a7bf-4aa1-8b56-79cba419f881,Peplink,balance_20x_2_wan,Communications,Wi-Fi,"Peplink Balance 20X - 2 WAN"
0443ce63-8971-4ccb-bf5a-d0b09d868d6f,Pepwave,max_hd1_dome_pro_5g,Communications,Wi-Fi,"Pepwave MAX HD1 Dome Pro 5G"
0c39acac-1782-59e4-f323-891c0ead61b7,Quick,hector_hc3_series_windlass_1500w,Rigging/Deck,Windlass,"Hector HC3 series windlass 1500W"
fd57895b-e0fa-d735-6cb4-1cb88a65e92c,Quick,remote_control_hrc1002_2vie,Propulsion,Controls,"Remote control HRC1002 2Vie"
8e541a9e-8096-f02f-6437-8f22f423b8b5,Register Your Device:,register_your_device,Hull/Plumbing,Uncategorized,""
54b8266d-d920-7abb-9026-48017198414c,Ritchie Navigation,compass_with_key,Navigation,Compass,"Compass with key"
dac504d8-2fcd-4d9d-a5db-744fb64901e5,Rocna,mkii_50_50kg,Rigging/Deck,Anchor,"Rocna MkII 50 (50kg)."
6ec81c33-6ccf-4319-9fe9-db24c6113c81,Rule,bilge_pump,Hull/Plumbing,Venting,"Bilge pump"
6b101a00-e08f-d3a2-6ba8-4d8d5c7ade42,Rule,standard_drain_box,Hull/Plumbing,Venting,"Standard drain box"
3a49c8f2-44de-4940-9b3c-be32d80e1b5d,Samsung,washer_dryer,Interior/Comfort,Audio/entertainment,"Washer dryer"
47c20c93-45bb-e1a3-d2c7-40d1d28eda44,Samsung,tv,Interior/Comfort,Audio/entertainment,"TV"
53882300-2ffc-4cdb-8f17-62fff5cc2cd1,Scanstrut,atmos_at_the_transom_seat,Electrical (DC),Air Pump,"Scanstrut Atmos at the transom seat."
d0cbc03e-ad33-47c8-84b7-92b41d319727,Schenker,zen_150_watermaker_48v,Hull/Plumbing,Watermaker,"Schenker Zen 150 watermaker 48V."
dbd7b74f-2b5b-41dd-b369-6c80d9253e6e,Seaai,sea_ai,Navigation,AI Camera,"Sea.ai"
793a9915-0404-0b63-c7aa-3670be9b469a,Spinlock,tsr_aft_organiser,Hull/Plumbing,Uncategorized,"TSR aft organiser"
b3470a55-8290-25b9-f407-85b5652b8788,Sunpower,solar_panel,Electrical (DC),Solar/mppt,"Solar Panel"
943d3a57-5a1f-44db-622b-2fa9debeb834,Sunrise Yacht Products,trampoline,Rigging/Deck,Trampoline,"Trampoline"
33618d37-ceca-54ae-4290-e38b4d54920b,Thetford,tecma,Hull/Plumbing,Shower,"Tecma"
65ba5c9d-560b-889f-9bb5-ec6251e82141,Top Carpets,vinyl_care,Interior/Comfort,Flooring,"Vinyl care"
18eb5ba1-36c0-9ed4-27c1-4d2f0ce80465,Ullman Sails,sail_crossover_chart,Sails,Chart,"Sail Crossover Chart"
e3d12cb9-377d-456d-b322-24fd20edc595,Vetus,vented_loops,Hull/Plumbing,Venting,"Vented loops"
1dced2ef-c7e8-4a0b-a4a1-4ce10385d014,Vetus,no_smell_filter,Hull/Plumbing,Venting,"No smell filter"
dbc18825-eebc-43b0-b511-c0b7204b5d5c,Vetus,waste_water_tank,Hull/Plumbing,Venting,"Waste water tank"
3f072505-a5df-1084-4298-269c2b5cdbe0,Vetus,louvred_air_vents,Hull/Plumbing,Venting,"Louvred air vents"
45f47c43-98cf-4396-a3c0-ddd9b9ea58b0,Vetus,fuel_filter_water_separators,Hull/Plumbing,Venting,"Fuel filter/Water Separators"
cd0e4aa5-ca0a-42f1-bfba-12e43b11dfa3,Vetus,splash_stop,Hull/Plumbing,Venting,"Splash stop"
374cc1c4-da31-416b-9426-decee31b2851,Vetus,airvent_v_airvent_h,Hull/Plumbing,Venting,"Airvent V / Airvent H"
29ec59da-2e52-48b9-ad8a-7474efeea0ad,Vetus,cooling_water_strainer,Hull/Plumbing,Venting,"Cooling water strainer"
6f7842bd-58cf-4bc7-9e1e-7da88b74edc2,Vetus,stainless_steel_breather_nipples,Hull/Plumbing,Venting,"Stainless steel breather nipples"
08ca0278-7202-4d3b-8824-64e36ad31488,Vetus,extractor_fan,Hull/Plumbing,Venting,"Extractor fan"
19a35aad-36ac-48a6-981e-c61b5cf2fc64,Vetus,waterlock,Hull/Plumbing,Venting,"Waterlock"
d1101b51-d5e1-4ecb-8822-cb60ad8eb6cf,Victron,lynx_distributor,Electrical (DC),Distribution/busbars,"Lynx Distributor"
3126bdbe-e88b-2def-e3cf-1c0ff8bfd018,Victron,orion_tr_smart_24_48_8_5_dc_dc_converter,Electrical (DC),Converters,"Orion TR Smart 24/48 - 8,5 DC/DC converter"
3b28ed48-8448-39da-553b-72cea85ee6c0,Victron,smartshunt_500a_50mv,Electrical (DC),Monitoring,"SmartShunt 500A/50MV"
b3c33da6-405e-4dda-5eee-75fe259df4ef,Victron,smart_solar_mppt,Electrical (DC),Solar/mppt,"Smart Solar MPPT"
67878acc-3376-eac0-f306-c6aea5240d39,Victron,quattro_48_5000_70_100_100_230v,Electrical (DC),Inverter/charger,"Quattro 48/5000/70 - 100/100 230V"
27ae3e55-fc52-7fb0-439d-7907543fe5b2,Victron,lynx_smart_bms_500,Electrical (DC),Bms,"Lynx Smart BMS500"
9bde01d7-0d79-c0c0-f8a4-5b48f9646a49,Victron,gx_touch_70,Electrical (DC),Monitoring,"GX Touch 70"
5480345b-3ecf-fa1b-0cfc-659fe978dc4a,Victron,cerbo_gx,Electrical (DC),Monitoring,"Cerbo Gx"
4cd0906c-b5e2-9783-1b39-ffa94a2497d8,Victron,smart_solar_mppt_250_100_tr,Electrical (DC),Solar/mppt,"Smart Solar MPPT 250/100 Tr"
ea03110e-598d-7430-eb5a-0e745cd7f340,Victron,life_p04_battery_25_6v_200a,Electrical (DC),Batteries,"Life P04 battery 25,6V/200A"
b8d26f26-3f0e-3c96-3e28-349e1d1f7060,Victron,orion_tr_smart_24_12_30a,Electrical (DC),Uncategorized,"Orion TR Smart 24/12 - 30A"
ce903d80-61d9-07dc-8e87-5105d4aa472f,Vitrifrigo,fridge_freezer,Interior/Comfort,Fridge/freezer,"Fridge/freezer"
1a5d8140-f5b1-4a02-b516-1eb39f3b766c,Whale,gusher_titan_bilge_pumps,Hull/Plumbing,Shower,"Gusher® Titan® bilge pumps"
f876f1dd-3fda-7cdb-5200-9c9f89e271c1,Whale,swin_n_rinse_shower,Hull/Plumbing,Shower,"Swin 'N' Rinse shower"
736a7b73-3d9f-a851-89f3-e98dded6357c,Yanmar,port_engine,Propulsion,Engines,"Port Engine 4HJ57"
7d66254e-d860-46ce-81f8-43647fbb1cac,Yanmar,shift_actuator,Propulsion,Uncategorized,"Shift actuator"
4dbf0c41-a3ac-4993-b5d4-b591a6365c72,Yanmar,stbd_sail_drive,Propulsion,Uncategorized,"Stbd Sail Drive"
cc5de4bb-7061-479d-b030-da179a35a430,Yanmar,port_sail_drive,Propulsion,Uncategorized,"Port Sail Drive"
641b18cf-e9de-4ebe-a37e-4e48c19aaaaf,Yanmar,v20,Propulsion,Engine Controls,"Dual Yanmar V20 electronic throttle"
4be6e417-1b27-42bf-951a-e10cb2b970e8,Yanmar,stbd_engine,Propulsion,Engines,"Stbd Engine 4HJ57"
6747bcaf-5c31-e12f-8947-37fce290ab47,Yanmar,4jh57,Propulsion,Engines,"57 hp diesel engine (PORT)"
ca3b9f2f-f06f-4294-8540-dcbb20730da9,Zerojet,on_oc_tender,Rigging/Deck,Tender,"Zerojet on OC Tender"
