asset_uid,manufacturer_norm,model_norm,system_norm,subsystem_norm,description
d7958a7c-7fd5-4458-a071-95bfcc75b6d3,Harken,high_load_snatch_block,Rigging/Deck,Deck Hardware,"High-Load snatch block"
0fb0acae-1585-6393-94d1-889aa4088d35,Harken,black_magic_loop_block,Rigging/Deck,Deck Hardware,"Black Magic loop block"
623391a4-cd7d-0a2e-eeef-f75cd26b55b3,Harken,winch_60_3_stea_24v_h_motor,Rigging/Deck,Winches,"Winch 60,3 STEA 24V H motor"
85683d4d-bd10-d20b-76c8-39f862ac311d,Harken,60_3_stea_winch,Rigging/Deck,Winches,"60.3 STEA winch"
69688a2c-2660-4f9e-974a-7794bf459d4d,Harken,46_2stea,Rigging/Deck,Winches,"Winch 46,2 STEA H motor"
69055764-ebc7-d985-b1ab-72afaf3dd695,Harken,50_2stea_24v_horizontal,Rigging/Deck,Winches,"Winch 50,2 STEA 24V motor"
667332e7-8d3b-d2bd-7cc3-56495f56ce53,Hy-Prodrive,linear_actuator,Hull/Plumbing,Actuator,"Linear actuator"
91b3675a-9470-4e86-fe09-f5132102cfc8,Integrel,charging_system,Propulsion,Alternators/regulator,"Charging System"
35832e6e-2324-5aef-b1c7-4b2f9c4e2d42,Integrel Solutions,hybrid_marine_power_generation_system_integrated_with_main_engine,Electrical (DC),Alternators/regulators,"Hybrid marine power generation system integrated with main engine"
45c06cdd-28d7-9497-8507-0f26628c2cf2,Iriduim,satellite_kit,Communications,Wi-Fi/cell/sat,"Satellite kit"
515ce54a-09f5-1830-ef07-ff3db98422ad,Isotemp,marine_water_heater,Hull/Plumbing,Water Heater,"Marine water heater"
0dbf0a1a-13d2-7877-1e81-70bd0f58c5ad,Jabsco,electric_toilet,Hull/Plumbing,Heads,"Electric toilet"
ea9260bb-f8ee-f895-84e8-0e9651f0c027,Marco,self_priming_transfer_pump,Electrical (AC),Transfer/ats,"Self-priming transfer pump"
f3f11660-4800-54ad-0a5a-0aae71b6592c,Ocean Safety,inflatable_danbuoy,Safety,Erirb/plb,"Inflatable danbuoy"
023f1935-8b29-7c39-056b-72cb034ba9eb,Oceanled,underwater_lights,Interior/Comfort,Lighting,"Underwater lights"
15dd9fc5-a98c-e6e4-a524-60b59c114c32,Osculati,quick_lock_deck_filler,Rigging/Deck,Deck Hardware,"Quick lock deck filler"
d7bef66f-c51e-35d7-b801-69f4553db17a,Pan World,magnetic_driven_pump_aircons,Hull/Plumbing,Pumps,"Magnetic driven pump - aircons"
9661132b-d880-e7e0-6c09-bff7349270e6,Parker Hannifin,marine_fuel_filter_water_separators,Hull/Plumbing,Fuel Seperator,"Marine fuel filter/water separators"
48e83cfd-94a3-4dfb-9953-387a3da8f95b,Peplink,b_one,Communications,Wi-Fi/cell/sat,"B-one"
b73c5c16-0377-4a89-af95-23b1fa8f4373,Peplink,sim_projector,Communications,Wi-Fi/cell/sat,"SIM Projector"
940b9d2f-6c80-7a1b-067c-9865fae75589,Peplink,ap_one_ax,Communications,Wi-Fi/cell/sat,"AP one Ax"
5c359768-a7bf-4aa1-8b56-79cba419f881,Peplink,balance_20x_2_wan,Communications,Wi-Fi,"Peplink Balance 20X - 2 WAN"
0443ce63-8971-4ccb-bf5a-d0b09d868d6f,Pepwave,max_hd1_dome_pro_5g,Communications,Wi-Fi,"Pepwave MAX HD1 Dome Pro 5G"
0c39acac-1782-59e4-f323-891c0ead61b7,Quick,hector_hc3_series_windlass_1500w,Rigging/Deck,Windlass,"Hector HC3 series windlass 1500W"
fd57895b-e0fa-d735-6cb4-1cb88a65e92c,Quick,remote_control_hrc1002_2vie,Propulsion,Controls,"Remote control HRC1002 2Vie"
8e541a9e-8096-f02f-6437-8f22f423b8b5,Register Your Device:,register_your_device,Hull/Plumbing,Uncategorized,""
54b8266d-d920-7abb-9026-48017198414c,Ritchie Navigation,compass_with_key,Navigation,Compass,"Compass with key"
dac504d8-2fcd-4d9d-a5db-744fb64901e5,Rocna,mkii_50_50kg,Rigging/Deck,Anchor,"Rocna MkII 50 (50kg)."
6ec81c33-6ccf-4319-9fe9-db24c6113c81,Rule,bilge_pump,Hull/Plumbing,Venting,"Bilge pump"
6b101a00-e08f-d3a2-6ba8-4d8d5c7ade42,Rule,standard_drain_box,Hull/Plumbing,Venting,"Standard drain box"
3a49c8f2-44de-4940-9b3c-be32d80e1b5d,Samsung,washer_dryer,Interior/Comfort,Audio/entertainment,"Washer dryer"
47c20c93-45bb-e1a3-d2c7-40d1d28eda44,Samsung,tv,Interior/Comfort,Audio/entertainment,"TV"
53882300-2ffc-4cdb-8f17-62fff5cc2cd1,Scanstrut,atmos_at_the_transom_seat,Electrical (DC),Air Pump,"Scanstrut Atmos at the transom seat."
d0cbc03e-ad33-47c8-84b7-92b41d319727,Schenker,zen_150_watermaker_48v,Hull/Plumbing,Watermaker,"Schenker Zen 150 watermaker 48V."
dbd7b74f-2b5b-41dd-b369-6c80d9253e6e,Seaai,sea_ai,Navigation,AI Camera,"Sea.ai"
793a9915-0404-0b63-c7aa-3670be9b469a,Spinlock,tsr_aft_organiser,Hull/Plumbing,Uncategorized,"TSR aft organiser"
b3470a55-8290-25b9-f407-85b5652b8788,Sunpower,solar_panel,Electrical (DC),Solar/mppt,"Solar Panel"
943d3a57-5a1f-44db-622b-2fa9debeb834,Sunrise Yacht Products,trampoline,Rigging/Deck,Trampoline,"Trampoline"
33618d37-ceca-54ae-4290-e38b4d54920b,Thetford,tecma,Hull/Plumbing,Shower,"Tecma"
65ba5c9d-560b-889f-9bb5-ec6251e82141,Top Carpets,vinyl_care,Interior/Comfort,Flooring,"Vinyl care"
18eb5ba1-36c0-9ed4-27c1-4d2f0ce80465,Ullman Sails,sail_crossover_chart,Sails,Chart,"Sail Crossover Chart"
e3d12cb9-377d-456d-b322-24fd20edc595,Vetus,vented_loops,Hull/Plumbing,Venting,"Vented loops"
1dced2ef-c7e8-4a0b-a4a1-4ce10385d014,Vetus,no_smell_filter,Hull/Plumbing,Venting,"No smell filter"
dbc18825-eebc-43b0-b511-c0b7204b5d5c,Vetus,waste_water_tank,Hull/Plumbing,Venting,"Waste water tank"
3f072505-a5df-1084-4298-269c2b5cdbe0,Vetus,louvred_air_vents,Hull/Plumbing,Venting,"Louvred air vents"
45f47c43-98cf-4396-a3c0-ddd9b9ea58b0,Vetus,fuel_filter_water_separators,Hull/Plumbing,Venting,"Fuel filter/Water Separators"
cd0e4aa5-ca0a-42f1-bfba-12e43b11dfa3,Vetus,splash_stop,Hull/Plumbing,Venting,"Splash stop"
374cc1c4-da31-416b-9426-decee31b2851,Vetus,airvent_v_airvent_h,Hull/Plumbing,Venting,"Airvent V / Airvent H"
29ec59da-2e52-48b9-ad8a-7474efeea0ad,Vetus,cooling_water_strainer,Hull/Plumbing,Venting,"Cooling water strainer"
6f7842bd-58cf-4bc7-9e1e-7da88b74edc2,Vetus,stainless_steel_breather_nipples,Hull/Plumbing,Venting,"Stainless steel breather nipples"
08ca0278-7202-4d3b-8824-64e36ad31488,Vetus,extractor_fan,Hull/Plumbing,Venting,"Extractor fan"
19a35aad-36ac-48a6-981e-c61b5cf2fc64,Vetus,waterlock,Hull/Plumbing,Venting,"Waterlock"
d1101b51-d5e1-4ecb-8822-cb60ad8eb6cf,Victron,lynx_distributor,Electrical (DC),Distribution/busbars,"Lynx Distributor"
3126bdbe-e88b-2def-e3cf-1c0ff8bfd018,Victron,orion_tr_smart_24_48_8_5_dc_dc_converter,Electrical (DC),Converters,"Orion TR Smart 24/48 - 8,5 DC/DC converter"
3b28ed48-8448-39da-553b-72cea85ee6c0,Victron,smartshunt_500a_50mv,Electrical (DC),Monitoring,"SmartShunt 500A/50MV"
b3c33da6-405e-4dda-5eee-75fe259df4ef,Victron,smart_solar_mppt,Electrical (DC),Solar/mppt,"Smart Solar MPPT"
67878acc-3376-eac0-f306-c6aea5240d39,Victron,quattro_48_5000_70_100_100_230v,Electrical (DC),Inverter/charger,"Quattro 48/5000/70 - 100/100 230V"
27ae3e55-fc52-7fb0-439d-7907543fe5b2,Victron,lynx_smart_bms_500,Electrical (DC),Bms,"Lynx Smart BMS500"
9bde01d7-0d79-c0c0-f8a4-5b48f9646a49,Victron,gx_touch_70,Electrical (DC),Monitoring,"GX Touch 70"
5480345b-3ecf-fa1b-0cfc-659fe978dc4a,Victron,cerbo_gx,Electrical (DC),Monitoring,"Cerbo Gx"
4cd0906c-b5e2-9783-1b39-ffa94a2497d8,Victron,smart_solar_mppt_250_100_tr,Electrical (DC),Solar/mppt,"Smart Solar MPPT 250/100 Tr"
ea03110e-598d-7430-eb5a-0e745cd7f340,Victron,life_p04_battery_25_6v_200a,Electrical (DC),Batteries,"Life P04 battery 25,6V/200A"
b8d26f26-3f0e-3c96-3e28-349e1d1f7060,Victron,orion_tr_smart_24_12_30a,Electrical (DC),Uncategorized,"Orion TR Smart 24/12 - 30A"
ce903d80-61d9-07dc-8e87-5105d4aa472f,Vitrifrigo,fridge_freezer,Interior/Comfort,Fridge/freezer,"Fridge/freezer"
1a5d8140-f5b1-4a02-b516-1eb39f3b766c,Whale,gusher_titan_bilge_pumps,Hull/Plumbing,Shower,"Gusher® Titan® bilge pumps"
f876f1dd-3fda-7cdb-5200-9c9f89e271c1,Whale,swin_n_rinse_shower,Hull/Plumbing,Shower,"Swin 'N' Rinse shower"
736a7b73-3d9f-a851-89f3-e98dded6357c,Yanmar,port_engine,Propulsion,Engines,"Port Engine 4HJ57"
7d66254e-d860-46ce-81f8-43647fbb1cac,Yanmar,shift_actuator,Propulsion,Uncategorized,"Shift actuator"
4dbf0c41-a3ac-4993-b5d4-b591a6365c72,Yanmar,stbd_sail_drive,Propulsion,Uncategorized,"Stbd Sail Drive"
cc5de4bb-7061-479d-b030-da179a35a430,Yanmar,port_sail_drive,Propulsion,Uncategorized,"Port Sail Drive"
641b18cf-e9de-4ebe-a37e-4e48c19aaaaf,Yanmar,v20,Propulsion,Engine Controls,"Dual Yanmar V20 electronic throttle"
4be6e417-1b27-42bf-951a-e10cb2b970e8,Yanmar,stbd_engine,Propulsion,Engines,"Stbd Engine 4HJ57"
6747bcaf-5c31-e12f-8947-37fce290ab47,Yanmar,4jh57,Propulsion,Engines,"57 hp diesel engine (PORT)"
ca3b9f2f-f06f-4294-8540-dcbb20730da9,Zerojet,on_oc_tender,Rigging/Deck,Tender,"Zerojet on OC Tender"
